eventId,userId,movieId,eventType,watchMs,rating,eventTimeMillis,source
evt-001,123,1,view,720000,,1713503000000,web
evt-002,123,2,view,680000,,1713503060000,web
evt-003,124,5,view,540000,,1713503120000,mobile
evt-004,124,6,like,0,5,1713503180000,mobile
evt-005,125,7,view,760000,,1713503240000,tv
evt-006,125,8,view,700000,,1713503300000,tv
evt-007,126,9,view,600000,,1713503360000,mobile
evt-008,126,10,like,0,5,1713503420000,mobile
evt-009,127,11,view,620000,,1713503480000,web
evt-010,127,12,view,590000,,1713503540000,web
evt-011,123,4,view,480000,,1713503600000,web
evt-012,124,3,view,450000,,1713503660000,mobile
evt-013,127,2,like,0,4,1713503720000,web
evt-014,126,11,view,420000,,1713503780000,mobile
evt-015,125,12,like,0,4,1713503840000,tv
