featureKey,value,updatedAtMillis,ttlSeconds
user:123:last_3_movies,1 2 4,1713503600000,86400
user:124:last_3_movies,5 6 3,1713503660000,86400
user:125:last_3_movies,7 8 12,1713503840000,86400
user:126:last_3_movies,9 10 11,1713503780000,86400
user:127:last_3_movies,11 12 2,1713503720000,86400
movie:1:views_1h,1,1713503600000,3600
movie:2:views_1h,1,1713503720000,3600
movie:3:views_1h,1,1713503660000,3600
movie:4:views_1h,1,1713503600000,3600
movie:5:views_1h,1,1713503120000,3600
movie:6:likes_1h,1,1713503180000,3600
movie:7:views_1h,1,1713503240000,3600
movie:8:views_1h,1,1713503300000,3600
movie:9:views_1h,1,1713503360000,3600
movie:10:likes_1h,1,1713503420000,3600
movie:11:views_1h,2,1713503780000,3600
movie:12:views_1h,1,1713503540000,3600
topk:last_hour,11:2 1:1 2:1 3:1 4:1 5:1 7:1 8:1 9:1 12:1,1713503840000,3600
